time,temperature,rain,will_rain
2026-07-02T07:00,18.1,0.0,0
2026-07-02T08:00,17.4,0.0,0
2026-07-02T09:00,16.9,0.0,0
2026-07-02T10:00,16.0,0.0,0
2026-07-02T11:00,15.1,0.0,0
2026-07-02T12:00,15.6,0.0,0
2026-07-02T13:00,18.3,0.0,0
2026-07-02T14:00,22.3,0.0,0
2026-07-02T15:00,25.9,0.0,0
2026-07-02T16:00,28.3,0.0,0
2026-07-02T17:00,30.2,0.0,0
2026-07-02T18:00,31.7,0.0,0
2026-07-02T19:00,32.8,0.0,0
2026-07-02T20:00,33.6,0.0,0
2026-07-02T21:00,34.1,0.0,0
2026-07-02T22:00,34.4,0.0,0
2026-07-02T23:00,34.5,0.0,0
